[
(1, 0.0941),
(2, 0.2304),
(3, 0.3258), 
(4, 0.3601), 
(5, 0.3842), 
(6, 0.4234), 
(7, 0.4484), 
(8, 0.4732), 
(9, 0.49169999999999997),
(10, 0.5034000000000001),
(11, 0.5193),
(12, 0.5286000000000001),
(13, 0.5394),
(14, 0.5433),
(15, 0.5498000000000001),
(16, 0.5555),
(17, 0.5612999999999999),
(18, 0.5664),
(19, 0.5710000000000001),
(20, 0.5770000000000001),
(21, 0.5783),
(22, 0.5806),
(23, 0.5878),
(24, 0.5899),
(25, 0.5951000000000001),
(26, 0.5978),
(27, 0.5951),
(28, 0.5980000000000001),
(29, 0.6019),
(30, 0.6073999999999999),
(31, 0.6077),
(32, 0.6064),
(33, 0.6091),
(34, 0.6115999999999999),
(35, 0.6122),
(36, 0.6165),
(37, 0.6138999999999999),
(38, 0.6167),
(39, 0.6159),
(40, 0.6184000000000001),
(41, 0.618), 
(42, 0.6192),
(43, 0.6176999999999999),
(44, 0.6228),
(45, 0.6195),
(46, 0.6220000000000001),
(47, 0.6180999999999999),
(48, 0.6200999999999999),
(49, 0.6186),
(50, 0.6209)
]
