[
(1, 0.09419999999999999),
(2, 0.2077), 
(3, 0.29580000000000006),
(4, 0.33530000000000004),
(5, 0.36110000000000003),
(6, 0.394),
(7, 0.41990000000000005),
(8, 0.4452999999999999),
(9, 0.46579999999999994),
(10, 0.4838),
(11, 0.4972),
(12, 0.5109999999999999),
(13, 0.5241),
(14, 0.5339000000000002),
(15, 0.5442),
(16, 0.5517),
(17, 0.5562),
(18, 0.5630999999999999),
(19, 0.5665),
(20, 0.5722),
(21, 0.5699),
(22, 0.5793999999999999),
(23, 0.5824),
(24, 0.5857000000000001),
(25, 0.5865),
(26, 0.5892999999999999),
(27, 0.5932),
(28, 0.5945),
(29, 0.5961000000000001),
(30, 0.6019),
(31, 0.6018000000000001),
(32, 0.6012),
(33, 0.6047),
(34, 0.6075999999999999),
(35, 0.6056999999999999),
(36, 0.6063),
(37, 0.6050000000000001),
(38, 0.6083999999999999),
(39, 0.6062000000000001),
(40, 0.6071),
(41, 0.6098999999999999),
(42, 0.6113),
(43, 0.6112),
(44, 0.6121),
(45, 0.6131999999999999),
(46, 0.6136000000000001),
(47, 0.6163999999999998),
(48, 0.6158),
(49, 0.6171),
(50, 0.6167999999999999)]
